SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
iäl'ju  iälju     	ahkeruus  	iäl'ju	ahkeruus				iälju			
iäl'ju  iälju     	tarmo  	iäl'ju	tarmo				iälju			
iäl'juttiđ  iäljut     	olla ahkera  (jssak)	iäl'juttiđ	olla 			ahkera	iäljut		(jssak)	
iäl'lááttiđ  iäl'lát     	elvyttää  	iäl'lááttiđ	elvyttää				iäl'lát			
iäl'lááttiđ  iäl'lát     	herättää eloon  	iäl'lááttiđ	herättää 			eloon	iäl'lát			
iäl'láđ  iäl'láám     	elpyä  	iäl'láđ	elpyä				iäl'láám			
iäl'ššáá  # -s     	hyväkuntoinen  (ihmisestä)	iäl'ššáá	hyvä			kuntoinen	# -s		(ihmisestä)	
iäl'ššáá  # -s     	ahkera  	iäl'ššáá	ahkera				# -s			
iäl'ššáá  # -s     	innokas  	iäl'ššáá	innokas				# -s			
iäl'šu  iälšu     	kunto  	iäl'šu	kunto				iälšu			
iäl'šu  iälšu     	työkyky  	iäl'šu	työ			kyky	iälšu			
iäLu  iälu     	elo  (porokarja)	iäLu	elo				iälu		(porokarja)	
iäLu  iälu     	porokarja  	iäLu	poro			karja	iälu			
iä'lustâllâđ  iä'lustâlâm     	elellä  	iä'lustâllâđ	elellä				iä'lustâlâm			
iä'lustiđ  iälust     	elellä  	iä'lustiđ	elellä				iälust			
iä'luttem  # iä'luttemes     	eloton  	iä'luttem	eloton				# iä'luttemes			
iä'mádâh  iä'máduv     	emätin  	iä'mádâh	emätin				iä'máduv			
iä'Mádâh  iä'Máduv     	emätin  	iä'Mádâh	emätin				iä'Máduv			
iän       	emme  (kaks.)	iän	emme						(kaks.)	
iä'n       	emme  (kaks.)	iä'n	emme						(kaks.)	
iänáá       	eniten  	iänáá	eniten							
iänáá       	suurin osa  	iänáá	suurin 			osa				
iänááš       	useimmat  	iänááš	useimmat							
iänááš       	enimmäkseen  	iänááš	enimmäkseen							
iänááš       	suurin  	iänááš	suurin							
iänááš       	lähinnä  (enimmäkseen)	iänááš	lähinnä						(enimmäkseen)	
iänááš       	enin  	iänááš	enin							
iänáážin       	enimmäkseen  	iänáážin	enimmäkseen							
iä'nádâh  iä'náduv     	enemmistö  	iä'nádâh	enemmistö				iä'náduv			
iä'náduđ  iä'náduum iä'náduVá     	joutua hankaluuksiin  (jk tuotteen ylitarjonnan vuoksi)	iä'náduđ	joutua 			hankaluuksiin	iä'náduum iä'náduVá		(jk tuotteen ylitarjonnan vuoksi)	
iä'náduttiđ  iä'nádutám iä'nádut     	antaa jklle niin paljon, että tämä joutuu hankaluuksiin ylitarjonnan vuoksi  	iä'náduttiđ	antaa 			jklle niin paljon, että tämä joutuu hankaluuksiin ylitarjonnan vuoksi	iä'nádutám iä'nádut			
iä'nášiđ       	pitää jtak liian paljona t. kalliina  	iä'nášiđ	pitää 			jtak liian paljona t. kalliina				
iän'nálâš  iän'nálii     	äidillinen  	iän'nálâš	äidillinen				iän'nálii			
iänui  ennuu     	eno  	iänui	eno				ennuu			
iä'pádâllâđ  iä'pádâlâm     	arvella  	iä'pádâllâđ	arvella				iä'pádâlâm			
iä'pádâllâđ  iä'pádâlâm     	luulla  	iä'pádâllâđ	luulla				iä'pádâlâm			
iä'pádâllâđ  iä'pádâlâm     	arveluttaa  	iä'pádâllâđ	arveluttaa				iä'pádâlâm			
iä'pádâs       	epäilys  	iä'pádâs	epäilys							
iä'pádus       	epäilys  	iä'pádus	epäilys							
iä'párâš       	äpärä  (lapsivainaja)	iä'párâš	äpärä						(lapsivainaja)	
iäráán       	asia  (toimitettava)	iäráán	asia						(toimitettava)	
iä'Ránâššâđ       	asioida  	iä'Ránâššâđ	asioida							
iä'Ránâššee       	asiakas  (asiantoimittaja)	iä'Ránâššee	asiakas						(asiantoimittaja)	
iä'rániđ  iärrán~iärrân     	erottua  	iä'rániđ	erottua				iärrán~iärrân			
iä'rániđ  iärrán~iärrân     	erota  	iä'rániđ	erota				iärrán~iärrân			
iär'duđ  iärdum iär'doo     	ärsyyntyä  	iär'duđ	ärsyyntyä				iärdum iär'doo			
iär'duđ  iärdum iär'doo     	ärtyä  	iär'duđ	ärtyä				iärdum iär'doo			
iär'dudiđ  iär'dud     	suututtaa  	iär'dudiđ	suututtaa				iär'dud			
iär'dudiđ  iär'dud     	ärsyttää  	iär'dudiđ	ärsyttää				iär'dud			
iär'dum       	ärsytys  (m. lääket.)	iär'dum	ärsytys						(m. lääket.)	
iär'gáá  # -s     	ihminen, joka omistaa paljon härkiä  	iär'gáá	ihminen, 			joka omistaa paljon härkiä	# -s			
iär'gádâh  iär'gáduv     	porohärän talja  	iär'gádâh	poro			härän talja	iär'gáduv			
iär'gáduđ  iär'gáduum iär'gáduVá     	saada paljon härkiä  	iär'gáduđ	saada 			paljon härkiä	iär'gáduum iär'gáduVá			
iär'gáduđ  iär'gáduum iär'gáduVá     	tulla härkärikkaaksi  	iär'gáduđ	tulla 			härkärikkaaksi	iär'gáduum iär'gáduVá			
iäRu  iäru     	ero  	iäRu	ero				iäru			
iä'Rutier'vuođah       	hyvästit  	iä'Ru	hyvästit		tier'vuođah					
iä'Rutier'vuođah       	jäähyväiset  	iä'Ru	jää		tier'vuođah	hyväiset				
iä'ruttâs       	erotus  	iä'ruttâs	erotus							
iä'ruttiđ  iä'rut     	erottaa  	iä'ruttiđ	erottaa				iä'rut			
iä'Rutuámmár~-tuámmâr       	erotuomari  	iä'Ru	ero		tuámmár~-tuámmâr	tuomari				
iä'rvádâs       	arvoitus  	iä'rvádâs	arvoitus							
iär'vádittiđ       	arvuuttaa  	iär'vádittiđ	arvuuttaa							
iäs'kán       	vasta  	iäs'kán	vasta							
iäs'sá  iäsá     	ässä  (korttipelissä)	iäs'sá	ässä				iäsá		(korttipelissä)	
iäs'sá  iäsá     	ässä  (s-kirjain)	iäs'sá	ässä				iäsá		(s-kirjain)	
iäs'tu  iästu     	esto  	iäs'tu	esto				iästu			
iä'stulâš  iä'stulii     	jäävi  	iä'stulâš	jäävi				iä'stulii			
iä'stulâš  iä'stulii     	esteellinen  	iä'stulâš	esteellinen				iä'stulii			
iä'stulâšvuotâ  -vuođâ     	jääviys  	iä'stulâšvuotâ	jääviys				-vuođâ			
iä'stuttem  # -es     	estoton  	iä'stuttem	estoton				# -es			
iä'stuttes       	esteetön  	iä'stuttes	esteetön							
iä'táduđ  iä'táduum iä'táduVá     	hätääntyä  	iä'táduđ	hätääntyä				iä'táduum iä'táduVá			
iä'táduddâđ       	hätäillä  	iä'táduddâđ	hätäillä							
iä'táduddâđ       	olla huolissaan  	iä'táduddâđ	olla 			huolissaan				
iä'táduddâđ       	olla levoton  	iä'táduddâđ	olla 			levoton				
iä'táduttiđ       	kiusata  	iä'táduttiđ	kiusata							
iä'tásâš  iä'tásii     	avun tarpeessa oleva  	iä'tásâš	avun 			tarpeessa oleva	iä'tásii			
iä'tásâš  iä'tásii     	hädänalainen  	iä'tásâš	hädän			alainen	iä'tásii			
iät'kálem       	revähdys  	iät'kálem	revähdys							
iät'kálem       	sijoiltaanmeno  	iät'kálem	sijoiltaan			meno				
iät'kálem       	venähdys  	iät'kálem	venähdys							
iät'káliđ       	mennä sijoiltaan  	iät'káliđ	mennä 			sijoiltaan				
iät'káliđ       	revähtää  	iät'káliđ	revähtää							
iät'káliđ       	venähtää  	iät'káliđ	venähtää							
iät'kálim       	revähdys  	iät'kálim	revähdys							
iät'kálim       	sijoiltaanmeno  	iät'kálim	sijoiltaan			meno				
iät'kálim       	venähdys  	iät'kálim	venähdys							
iät'kálittiđ       	revähdyttää  	iät'kálittiđ	revähdyttää							
iät'kálittiđ       	venähdyttää  	iät'kálittiđ	venähdyttää							
iät'kániđ       	mennä sijoiltaan  	iät'kániđ	mennä 			sijoiltaan				
iät'kániđ       	revähtää  	iät'kániđ	revähtää							
iät'kániđ       	venähtää  	iät'kániđ	venähtää							
iät'táá  # iät'táás     	hätäinen  	iät'táá	hätäinen				# iät'táás			
iä'vá       	eivät  (duaali)	iä'vá	eivät						(duaali)	
iäv'ru  iävru     	hapro  Oxyria digyna	iäv'ru	hapro				iävru		Oxyria digyna	
iä'vtukkâs       	ehdokas  	iä'vtukkâs	ehdokas							
iä'vtukkâsvuotâ  iä'vtukkâsvuođâ     	ehdokkuus  	iä'vtukkâsvuotâ	ehdokkuus				iä'vtukkâsvuođâ			
iä'vtulâš  iä'vtulii     	ehdollinen  	iä'vtulâš	ehdollinen				iä'vtulii			
iä'vtulávt       	vapaaehtoisesti  	iä'vtulávt	vapaa			ehtoisesti				
iävtutátulâš  -tátulii     	vapaaehtoinen  	iävtu	vapaa		tátulâš	ehtoinen	-tátulii			
iävtutátulâšvuotâ  -tátulâšvuođâ     	vapaaehtoisuus  	iävtu	vapaa		tátulâšvuotâ	ehtoisuus	-tátulâšvuođâ			
iävtutátulávt       	vapaaehtoisesti  	iävtu	vapaa		tátulávt	ehtoisesti				
iä'vtuttâs       	ehdotus  	iä'vtuttâs	ehdotus							
iä'vtuttâs       	luonnos  	iä'vtuttâs	luonnos							
iä'vtuttem  # -es     	ehdoton  	iä'vtuttem	ehdoton				# -es			
iä'vtuttiđ  iävtut     	ehdottaa  	iä'vtuttiđ	ehdottaa				iävtut			
iävtuvuá'lásâš  -vuá'lásii     	ehdonalainen  	iävtu	ehdon		vuá'lásâš	alainen	-vuá'lásii			
ja       	ja  	ja	ja							
já       	ja  	já	ja							
jáá       	jaa  	jáá	jaa							
jáá       	vai niin  	jáá	vai 			niin				
jáá nuuvt       	vai niin  	jáá 	vai 		nuuvt	niin				
jáágár       	jääkäri  	jáágár	jääkäri							
jaagiđ  jaagiim     	ajaa pois  	jaagiđ	ajaa 			pois	jaagiim			
jáákkuppeivi  -peeivi     	jaakonpäivä  	jáákkup	jaakon		peivi	päivä	-peeivi			
jááldus  # já'ldus     	sää  (tuulinen t. kylmä, hyttyset eivät tällöin lennä)	jááldus	sää				# já'ldus		(tuulinen t. kylmä, hyttyset eivät tällöin lennä)	
jaamâs       	kuoliaaksi  	jaamâs	kuoliaaksi							
jaamâs  jaammâs # jaMâ-     	kuollut  	jaamâs	kuollut				jaammâs # jaMâ-			
jaamiš       	vainaja  	jaamiš	vainaja							
jaamišpääNi  -pääni ~ -päne     	pihasaunio  Matricaria matricarioides	jaamiš	piha		pääNi	saunio	-pääni ~ -päne		Matricaria matricarioides	
jaammâđ  jaamâm     	liittää yhteen  (verkoista)	jaammâđ	liittää 			yhteen	jaamâm		(verkoista)	
jáámmám       	kuollut  	jáámmám	kuollut							
jaammuš       	kuollut  	jaammuš	kuollut							
jaammuš       	kuolleena  	jaammuš	kuolleena							
jááMu  jáámu     	kato  	jááMu	kato				jáámu			
jááMu  jáámu     	massakuolema  (esim. porojen)	jááMu	massa			kuolema	jáámu		(esim. porojen)	
jaannâđ  jááNá     	kutistua  	jaannâđ	kutistua				jááNá			
jaapaankieLâ  -kielâ     	japani  (kieli)	jaapaan	japani		kieLâ		-kielâ		(kieli)	
jaapaanlâš  jaapaanlii     	japanilainen  	jaapaanlâš	japanilainen				jaapaanlii			
jááváđ  jááváám     	jäävätä  	jááváđ	jäävätä				jááváám			
jááVuh       	jauhot  	jááVuh	jauhot							
jáháttâllâđ       	totella  	jáháttâllâđ	totella							
jáháttâllâđ       	uskoa  	jáháttâllâđ	uskoa							
jakki  jaaki     	jakki  Bos mutus grunniens	jakki	jakki				jaaki		Bos mutus grunniens	
jalahâs       	pilvetön  (sää)	jalahâs	pilvetön						(sää)	
jalahistiđ       	seestyä  (säästä, muuttua pilvettömäksi)	jalahistiđ	seestyä						(säästä, muuttua pilvettömäksi)	
jalahistiđ       	muuttua pilvettömäksi  (säästä)	jalahistiđ	muuttua 			pilvettömäksi			(säästä)	
jáldu  jááldu     	viileä  	jáldu	viileä				jááldu			
jáldu  jááldu     	viileä sää  (kesällä, hyttyset eivät lennä)	jáldu	viileä 			sää	jááldu		(kesällä, hyttyset eivät lennä)	
já'ldudiđ  jááldud     	viiletä  (säästä, jolloin hyttyset eivät lennä)	já'ldudiđ	viiletä				jááldud		(säästä, jolloin hyttyset eivät lennä)	
ja'lgodiđ  jalgood     	muuttua aukeaksi  	ja'lgodiđ	muuttua 			aukeaksi	jalgood			
ja'lhettiđ  jalheet     	lyödä  (kerran sydämestä)	ja'lhettiđ	lyödä				jalheet		(kerran sydämestä)	
jalkkaattiđ  jalkkat     	jyskyttää  (esim. sydämestä)	jalkkaattiđ	jyskyttää				jalkkat		(esim. sydämestä)	
jalkkađ       	lyödä  (kerran sydämestä)	jalkkađ	lyödä						(kerran sydämestä)	
jalkkeđ  ja'lham     	jyskyttää  (erit. sydämestä)	jalkkeđ	jyskyttää				ja'lham		(erit. sydämestä)	
jalkkem       	jyskytys  (erit. sydämen)	jalkkem	jyskytys						(erit. sydämen)	
jallođ  jaLom     	tulla hulluksi  	jallođ	tulla 			hulluksi	jaLom			
ja'lŋes  jalŋa     	kanto  (havupuun)	ja'lŋes	kanto				jalŋa		(havupuun)	
jalopevri  -peevri     	jalopeura  	jalo	jalo		pevri	peura	-peevri			
jáLudâs       	jaloste  	jáLudâs	jaloste							
jáLudem       	jalostus  	jáLudem	jalostus							
jáLuhaigar       	jalohaikara  Egretta alba	jáLu	jalo		haigar	haikara			Egretta alba	
jáLukaasu       	jalokaasu  	jáLu	jalo		kaasu	kaasu				
jáLukeđgi  -keeđgi     	jalokivi  	jáLu	jalo		keđgi	kivi	-keeđgi			
jáLumeetaal       	jalometalli  	jáLu	jalo		meetaal	metalli				
jálusmuoRâ  -muorâ     	jalo lehtipuu  	jálus	jalo 		muoRâ	lehtipuu	-muorâ			
jalvâ  jaalvâ     	jalava  	jalvâ	jalava				jaalvâ			
jaMâ  # jaamâ     	eloton  	jaMâ	eloton				# jaamâ			
jaMâ  # jaamâ     	hengetön  (kuollut)	jaMâ	hengetön				# jaamâ		(kuollut)	
jaMâ  # jaamâ     	kuollut  	jaMâ	kuollut				# jaamâ			
jaMâaSe  -ase     	marraskesi  	jaMâ	marras		aSe	kesi	-ase			
jamâdiđ  jaamâd     	kuoleskella  	jamâdiđ	kuoleskella				jaamâd			
jamâdiđ  jaamâd     	tehdä kuolemaa  	jamâdiđ	tehdä 			kuolemaa	jaamâd			
jaMâlâšvuotâ  jaMâlâšvuođâ     	kuolleisuus  	jaMâlâšvuotâ	kuolleisuus				jaMâlâšvuođâ			
jámálgâddâđ  jámálgâd     	kaatuilla  	jámálgâddâđ	kaatuilla				jámálgâd			
jámálgâddâđ  jámálgâd     	pyörtyillä  	jámálgâddâđ	pyörtyillä				jámálgâd			
jámálgâddâđ  jámálgâd     	saada epilepsiakohtaus t. -kohtauksia  	jámálgâddâđ	saada 			epilepsiakohtaus t. -kohtauksia	jámálgâd			
jámálgemtavdâ  -taavdâ     	epilepsia  	jámálgem	epilepsia		tavdâ		-taavdâ			
jámálgiđ  jáámáálg     	pyörtyä  	jámálgiđ	pyörtyä				jáámáálg			
jámálgiddee       	epileptikko  	jámálgiddee	epileptikko							
jámálgiddee       	kaatumatautinen  	jámálgiddee	kaatuma			tautinen				
jámálgim       	pyörtyminen  	jámálgim	pyörtyminen							
jámástellee       	kaatumatautinen  	jámástellee	kaatuma			tautinen				
jámástellee       	epileptikko  	jámástellee	epileptikko							
jamâstuđ  jamâstuum     	turtua  	jamâstuđ	turtua				jamâstuum			
jamâstuđ  jamâstuum     	kangistua  (raajasta)	jamâstuđ	kangistua				jamâstuum		(raajasta)	
jamâstuđ  jamâstuum     	jäykistyä  	jamâstuđ	jäykistyä				jamâstuum			
jamâstuđ  jamâstuum     	puutua  (raajasta)	jamâstuđ	puutua				jamâstuum		(raajasta)	
jamâstuttiđ  jamâstutám jamâstut     	puuduttaa  	jamâstuttiđ	puuduttaa				jamâstutám jamâstut			
jamâstuttiđ  jamâstutám jamâstut     	turruttaa  	jamâstuttiđ	turruttaa				jamâstutám jamâstut			
jáMuihe  -iVe     	katovuosi  (esim. porojen kuollessa massoittain)	jáMu	kato		ihe	vuosi	-iVe		(esim. porojen kuollessa massoittain)	
jándur       	vuorokausi  	jándur	vuoro			kausi				
jaŋgađ  jaŋgaam     	maata  (pitkin pituuttaan)	jaŋgađ	maata				jaŋgaam		(pitkin pituuttaan)	
jaRe  jare     	kovettuma  	jaRe	kovettuma				jare			
jaRe  jare     	nysty  	jaRe	nysty				jare			
jaRe  jare     	nystyrä  	jaRe	nystyrä				jare			
jaResieđ'gâ  -sieđgâ     	nystypaju  Salix lanata ssp glandulifera	jaRe	nysty		sieđ'gâ	paju	-sieđgâ		Salix lanata ssp glandulifera	
jarrođ  jarom     	jäätyä kiinni  	jarrođ	jäätyä 			kiinni	jarom			
jarroođ  jarom     	tullakovaksi ja nystyräiseksi  (lehmän utareesta, ihmisen sormista)	jarroođ	tulla			kovaksi ja nystyräiseksi	jarom		(lehmän utareesta, ihmisen sormista)	
jarroođ  jarom     	kovettua  (sormesta)	jarroođ	kovettua				jarom		(sormesta)	
jasko  ja'sko     	lakko  	jasko	lakko				ja'sko			
ja'skodiđ  jaskood     	hiljetä  	ja'skodiđ	hiljetä				jaskood			
ja'skodiđ  jaskood     	vaieta  	ja'skodiđ	vaieta				jaskood			
játkákiintâl  -kinttâl     	jätkänkynttilä  	játká	jätkän		kiintâl	kynttilä	-kinttâl			
jáválâš  jáválii     	vauras  	jáválâš	vauras				jáválii			
jáválâšvuotâ  jáválâšvuođâ     	vauraus  	jáválâšvuotâ	vauraus				jáválâšvuođâ			
jáválávt       	vauraasti  	jáválávt	vauraasti							
jáválduđ  jáválduVá     	tulla vauraaksi  	jáválduđ	tulla 			vauraaksi	jáválduVá			
jáválduđ  jáválduVá     	vaurastua  	jáválduđ	vaurastua				jáválduVá			
javgâliđ       	ampua rojauttaa  	javgâliđ	ampua 			rojauttaa				
já'vkuttâh  já'vkuttuv     	näkymättömissä olo  	já'vkuttâh	näkymättömissä 			olo	já'vkuttuv			
já'vrádâh~já'vrádoh~já'vráduh  já'vráduv     	lammenkaltainen leventymä pienehkössä lahdessa  	já'vrádâh~já'vrádoh~já'vráduh	lammen			kaltainen leventymä pienehkössä lahdessa	já'vráduv			
já'vrádâh~já'vrádoh~já'vráduh  já'vráduv     	lammenkaltainen laaja kohta joessa, erityisesti kosken alapuolella  	já'vrádâh~já'vrádoh~já'vráduh	lammen			kaltainen laaja kohta joessa, erityisesti kosken alapuolella	já'vráduv			
jávuttáá       	ääneti  	jávuttáá	ääneti							
jávuttem  # jávuttes     	hiljainen  (ihmisestä)	jávuttem	hiljainen				# jávuttes		(ihmisestä)	
jávuttem  # jávuttes     	äänetön  	jávuttem	äänetön				# jávuttes			
jávuttemesvuotâ  jávuttemesvuođâ     	hiljaisuus  	jávuttemesvuotâ	hiljaisuus				jávuttemesvuođâ			
jávuttemesvuotâ  jávuttemesvuođâ     	äänettömyys  	jávuttemesvuotâ	äänettömyys				jávuttemesvuođâ			
jávuttuđ  jávuttuum jávuttuVá     	sotkeentua jauhoihin  	jávuttuđ	sotkeentua 			jauhoihin	jávuttuum jávuttuVá			
jávuttuđ  jávuttuum jávuttuVá     	jauhoontua  	jávuttuđ	jauhoontua				jávuttuum jávuttuVá			
jáVuttuđ  jávuttuum jávuttuVá     	vaieta  (äänettömäksi)	jáVuttuđ	vaieta				jávuttuum jávuttuVá		(äänettömäksi)	
jávuttuttiđ       	panna vaikenemaan  (äänettömäksi)	jávuttuttiđ	panna 			vaikenemaan			(äänettömäksi)	
jávuttuttiđ       	vaientaa  (äänettömäksi)	jávuttuttiđ	vaientaa						(äänettömäksi)	
jávvučalme  -ča'lme     	jauhopaakku  	jávvu	jauho		čalme	paakku	-ča'lme			
jávvučalme  -ča'lme     	jauhoja  (hiukkasen)	jávvu	jauhoja		čalme		-ča'lme		(hiukkasen)	
jávvukuobâr  -kuob'bâr     	jauhosieni  Clitopilus prunulus	jávvu	jauho		kuobâr	sieni	-kuob'bâr		Clitopilus prunulus	
jávvumuocâ  -muosâ     	jauhokoisa  Ephestia kuehniella	jávvu	jauho		muocâ	koisa	-muosâ		Ephestia kuehniella	
jávvunjaajâg       	jauhosavikka  Chenepodium album	jávvu	jauho		njaajâg	savikka			Chenepodium album	
jávvuruág'gá  -ruágá     	jauhosäkki  (juuttinen)	jávvu	jauho		ruág'gá	säkki	-ruágá		(juuttinen)	
jávvuäitti  -ääiti     	jauhoaitta  	jávvu	jauho		äitti	aitta	-ääiti			
jeđe       	ja niin  	jeđe	ja 			niin				
jeeHiđ  jiäVám jiähá     	olla ilmatiivis  	jeeHiđ	olla 			ilmatiivis	jiäVám jiähá			
jeeHiđ  jiäVám jiähá     	pitää vettä  	jeeHiđ	pitää 			vettä	jiäVám jiähá			
jeessân       	jäsen  	jeessân	jäsen							
jeessânhiätu  -hiäđu     	jäsenetu  	jeessân	jäsen		hiätu	etu	-hiäđu			
jeessânkirje  -ki'rje     	jäsenkirja  	jeessân	jäsen		kirje	kirja	-ki'rje			
jeessânkorttâ  -koortâ     	jäsenkortti  	jeessân	jäsen		korttâ	kortti	-koortâ			
jeessânluvâttâllâm       	jäsenluettelo  	jeessân	jäsen		luvâttâllâm	luettelo				
jeessânmáksu  -máávsu     	jäsenmaksu  	jeessân	jäsen		máksu	maksu	-máávsu			
jeessânservi  -seervi     	jäsenyhdistys  	jeessân	jäsen		servi	yhdistys	-seervi			
jeessânucâmuš       	jäsenanomus  	jeessân	jäsen		ucâmuš	anomus				
jeessânviehâ  -vieVâ     	jäsenistö  	jeessân	jäsenistö		viehâ		-vieVâ			
jeessânvuotâ  jeessânvuođâ     	jäsenyys  	jeessânvuotâ	jäsenyys				jeessânvuođâ			
jeeVil  jiäHál     	jäkälä  	jeeVil	jäkälä				jiäHál			
jeggi  jeegi     	jänkä  	jeggi	jänkä				jeegi			
jeggi  jeegi     	suo  	jeggi	suo				jeegi			
jeggiaaččân       	lapinsirkka  Melanoplus frigidus	jeggi	lapin		aaččân	sirkka			Melanoplus frigidus	
jeggiaččen       	lapinsirkka  Melanoplus frigidus	jeggi	lapin		aččen	sirkka			Melanoplus frigidus	
jeggihuáš'ši  -huáši     	suokorte  Equisetum palustre	jeggi	suo		huáš'ši	korte	-huáši		Equisetum palustre	
jeggikuobžârääSi~-rääsi  -rääsi     	suo-ohdake  Cirsium palustre	jeggi	suo		kuobžârääSi~-rääsi	-ohdake	-rääsi		Cirsium palustre	
jeggilaahul       	suohyyppä  Vanellus leucurus	jeggi	suo		laahul	hyyppä			Vanellus leucurus	
jeggiluát'ku  -luáđhu     	suopöllö  Asio flammeus	jeggi	suo		luát'ku	pöllö	-luáđhu		Asio flammeus	
jeggilumvyeVih       	soistumistavat  	jeggilum	soistumis		vyeVih	tavat				
jeggimorttâ  -moortâ     	suomyrtti  Myrica gale	jeggi	suo		morttâ	myrtti	-moortâ		Myrica gale	
jegginartte  -na'rte     	lettorikko  Saxifraga hiculus	jeggi	letto		nartte	rikko	-na'rte		Saxifraga hiculus	
jeggioppuu       	suopöllö  Asio flammeus	jeggi	suo		oppuu	pöllö			Asio flammeus	
jeggiposkâ  -pooskâ     	suoputki  Peucedanum palustre	jeggi	suo		poskâ	putki	-pooskâ		Peucedanum palustre	
jeggiriddo  -rido     	jängänreuna  	jeggi	jängän		riddo	reuna	-rido			
jeggirääSi~-rääsi  -rääsi     	suokukka  Andromeda polifolia	jeggi	suo		rääSi~-rääsi	kukka	-rääsi		Andromeda polifolia	
jeggiširreš  -širráá     	jänkäsirriäinen  Limicola falcinellus	jeggi	jänkä		širreš	sirriäinen	-širráá		Limicola falcinellus	
jeggisoppâ  -soopâ     	sankale  (kapea suon osa, jonka molemmin puolin on kuivaa maata t. kapea suo, joka erkanee järven rannasta, esim. kuivunut lahti)	jeggi	sankale		soppâ		-soopâ		(kapea suon osa, jonka molemmin puolin on kuivaa maata t. kapea suo, joka erkanee järven rannasta, esim. kuivunut lahti)	
jeggisoppâ  -soopâ     	suonsankale  (kapea suon osa, jonka molemmin puolin on kuivaa maata t. kapea suo, joka erkanee järven rannasta, esim. kuivunut lahti)	jeggi	suon		soppâ	sankale	-soopâ		(kapea suon osa, jonka molemmin puolin on kuivaa maata t. kapea suo, joka erkanee järven rannasta, esim. kuivunut lahti)	
jeggisuor'mâkuáti  -kuáđi ~ -kuá'đe     	luhtalitukka  Cardamine pratensis	jeggi	luhta		suor'mâkuáti	litukka	-kuáđi ~ -kuá'đe		Cardamine pratensis	
jeggisyei'ni  -syeini     	jänkäheinä  	jeggi	jänkä		syei'ni	heinä	-syeini			
jeggisyei'ni  -syeini     	rantanurmikka  Poa palustris	jeggi	ranta		syei'ni	nurmikka	-syeini		Poa palustris	
jeggitijppâ  -tiijpâ     	suotyyppi  	jeggi	suo		tijppâ	tyyppi	-tiijpâ			
jeggitoŋâsrääSi~-rääsi  -rääsi     	vaivero  Chamaedaphne calgulata	jeggi	vaivero		toŋâsrääSi~-rääsi		-rääsi		Chamaedaphne calgulata	
jeggitäsnirääSi~-rääsi  -rääsi     	luhtalemmikki  Myosotis scorpioides	jeggi	luhta		täsnirääSi~-rääsi	lemmikki	-rääsi		Myosotis scorpioides	
jeggiuLoh       	suovillat  Eriophorum	jeggi	suo		uLoh	villat			Eriophorum	
jeggiviola       	suo-orvokki  Viola palustris	jeggi	suo		viola	-orvokki			Viola palustris	
jeggivälli  -vääLi     	suopöllö  Asio flammeus	jeggi	suo		välli	pöllö	-vääLi		Asio flammeus	
jehâliđ  jeehâl     	kysäistä  	jehâliđ	kysäistä				jeehâl			
jehhee       	läpäisemätön  (esim. vettä t. tuulta)	jehhee	läpäisemätön						(esim. vettä t. tuulta)	
jehhee       	jiekiö  	jehhee	jiekiö							
jehhee       	nahankaavin  	jehhee	nahan			kaavin				
jehhee       	näskäin  	jehhee	näskäin							
jerdust       	kohtisuoraan  	jerdust	kohti			suoraan				
jerdustčiehâ  -čieVâ     	suorakulma  	jerdust	suora		čiehâ	kulma	-čieVâ			
jergâ  jeergâ     	sää  (jhk takoitukseen sopiva)	jergâ	sää				jeergâ		(jhk takoitukseen sopiva)	
jesâneh       	jäsenistö  	jesâneh	jäsenistö							
jesmi  jeesmi     	laulujoutsen  (puolivuotiaaksi asti)	jesmi	laulu			joutsen	jeesmi		(puolivuotiaaksi asti)	
jesuiit       	jesuiitta  	jesuiit	jesuiitta							
jeVileennâm       	jäkälikkö  	jeVil	jäkälikkö		eennâm					
jie'čânâs       	itsenäinen  	jie'čânâs	itsenäinen							
jie'čânâs       	riippumaton  	jie'čânâs	riippumaton							
jie'čânâsvuođâpeivi  -peeivi     	itsenäisyyspäivä  	jie'čânâsvuođâ	itsenäisyys		peivi	päivä	-peeivi			
jie'čânâsvuotâ  jie'čânâsvuođâ     	itsenäisyys  	jie'čânâsvuotâ	itsenäisyys				jie'čânâsvuođâ			
jie'čânis       	itsekseen  	jie'čânis	itsekseen							
jieččâd       	itsesi  	jieččâd	itsesi							
jieččân       	itseni  	jieččân	itseni							
jieč'čii  # -s     	itsekäs  	jieč'čii	itsekäs				# -s			
jiegâatâštâs       	hengenahdistus  	jiegâ	hengen		atâštâs	ahdistus				
jiegâkááijum       	hengenpelastus  	jiegâ	hengen		kááijum	pelastus				
jie'gâlâš  jie'gâlii     	elollinen  (jokin, joka on hengissä)	jie'gâlâš	elollinen				jie'gâlii		(jokin, joka on hengissä)	
jie'gâlâš  jie'gâlii     	henkinen  	jie'gâlâš	henkinen				jie'gâlii			
jie'gâttem  # jie'gâttes     	hengetön  	jie'gâttem	hengetön				# jie'gâttes			
